,date,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,et0_fao_evapotranspiration
248,1970-09-05 18:30:00,23.804335,1.3000001,25.699057,1.4402344
249,1970-09-06 18:30:00,24.11892,1.2,23.576563,2.0244105
250,1970-09-07 18:30:00,25.0335,0.5,18.289274,3.702863
251,1970-09-08 18:30:00,25.050169,0.1,14.182355,4.117949
252,1970-09-09 18:30:00,25.116835,0.5,17.238699,3.6565259
253,1970-09-10 18:30:00,24.862669,9.1,16.923828,2.7474728
254,1970-09-11 18:30:00,23.354334,22.699997,13.830749,0.8427722
255,1970-09-12 18:30:00,24.366835,18.199997,13.324863,1.8449826
256,1970-09-13 18:30:00,25.506414,0.70000005,15.141414,3.5910478
257,1970-09-14 18:30:00,25.066835,0.2,14.118243,3.0023375
258,1970-09-15 18:30:00,24.885584,0.1,12.522619,2.7916832
259,1970-09-16 18:30:00,24.964752,0.0,12.538134,3.793361
260,1970-09-17 18:30:00,25.431417,0.0,10.787993,4.123946
261,1970-09-18 18:30:00,24.88975,0.0,11.885453,4.121301
262,1970-09-19 18:30:00,24.868917,0.2,10.315115,4.2330494
263,1970-09-20 18:30:00,24.82517,12.3,15.1884165,2.83022
264,1970-09-21 18:30:00,24.610586,4.3,17.238699,2.7312653
265,1970-09-22 18:30:00,25.235586,4.2,14.512064,3.8213902
266,1970-09-23 18:30:00,24.771002,2.2,11.019764,3.49908
267,1970-09-24 18:30:00,24.639755,11.000001,13.397612,2.8604023
268,1970-09-25 18:30:00,24.454332,3.4000003,15.0038395,2.7524376
269,1970-09-26 18:30:00,24.771002,1.1,13.479583,3.7131362
270,1970-09-27 18:30:00,25.16892,0.4,11.753876,4.064417
271,1970-09-28 18:30:00,24.904333,0.5,9.290511,3.8501024
272,1970-09-29 18:30:00,24.906416,0.6,11.212135,3.95313
273,1970-09-30 18:30:00,25.137667,0.6,9.0,4.17491
274,1970-10-01 18:30:00,25.660585,0.2,7.754637,4.4334207
275,1970-10-02 18:30:00,25.448084,0.0,8.759178,4.69155
276,1970-10-03 18:30:00,24.97725,0.2,11.885453,4.4213896
277,1970-10-04 18:30:00,24.773085,0.3,12.682018,4.184518
278,1970-10-05 18:30:00,25.46058,0.3,12.9249525,4.4603267
279,1970-10-06 18:30:00,25.610586,0.1,10.105681,4.7529054
280,1970-10-07 18:30:00,24.8835,0.0,9.957108,4.4751234
281,1970-10-08 18:30:00,24.925169,0.0,14.05845,4.9581685
282,1970-10-09 18:30:00,24.400167,0.0,11.384199,4.9360805
283,1970-10-10 18:30:00,25.223082,0.3,11.165805,4.1619415
284,1970-10-11 18:30:00,25.404335,0.0,10.594036,4.88168
285,1970-10-12 18:30:00,25.916834,0.0,9.726665,4.8840475
286,1970-10-13 18:30:00,26.81475,0.0,6.297428,4.7268553
287,1970-10-14 18:30:00,27.071,0.0,7.9932966,4.6715436
288,1970-10-15 18:30:00,26.327248,0.0,8.905908,4.8971457
289,1970-10-16 18:30:00,25.825165,0.0,11.119281,5.1558948
290,1970-10-17 18:30:00,25.802252,0.0,15.807239,5.4668303
291,1970-10-18 18:30:00,25.633501,0.0,12.413477,5.2651925
292,1970-10-19 18:30:00,25.020998,0.0,14.458382,5.2130227
293,1970-10-20 18:30:00,25.223083,0.0,10.308831,5.3012004
294,1970-10-21 18:30:00,24.796003,0.0,11.542478,5.591501
295,1970-10-22 18:30:00,24.623085,0.0,12.758432,5.4610295
296,1970-10-23 18:30:00,25.137667,0.0,15.463246,5.5591717
