date,city,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare,snow_and_ice,label
23-04-16,Baraki,,,,,,,,,,
23-04-17,Baraki,0.05915712833522312,0.13075750627411667,0.06370868740983056,0.033812506376700885,0.16291954381862314,0.09930777988791324,0.22068494606483438,0.08225486682434499,0.03632946477234348,4.370085470085469
23-04-18,Baraki,,,,,,,,,,
23-04-19,Baraki,0.19638539125187762,0.03859579886131589,0.043913678447087365,0.040207334403600734,0.14281775696505394,0.05859248304504881,0.24269499775755374,0.10003159744579102,0.05677532676412679,3.91835187057634
23-04-20,Baraki,,,,,,,,,,
23-04-21,Baraki,,,,,,,,,,
23-04-22,Baraki,,,,,,,,,,
23-04-23,Baraki,,,,,,,,,,
23-04-24,Baraki,0.04715312780591887,0.07313706693335353,0.06320007797897706,0.03363837371712354,0.18747610082575128,0.07232059834553049,0.3363206382710479,0.05962997371345075,0.03881360568420617,4.940619572555749
23-04-25,Baraki,,,,,,,,,,
23-04-26,Baraki,,,,,,,,,,
23-04-27,Baraki,0.05912358936436343,0.1296931889699654,0.057250861720476304,0.03272970679287254,0.16977157985453425,0.10163361842684603,0.22359106434482837,0.08159209565799658,0.036265811161423196,4.220122029269956
23-04-28,Baraki,,,,,,,,,,
23-04-29,Baraki,,,,,,,,,,
23-04-30,Baraki,,,,,,,,,,
23-05-01,Baraki,,,,,,,,,,
23-05-02,Baraki,0.0537553388879193,0.12266149141450991,0.05602554284829424,0.032176641323534684,0.1645842331811859,0.10453279968362948,0.23840661824542406,0.08466891021379308,0.037065410009693385,4.4820765411829075
23-05-03,Baraki,,,,,,,,,,
23-05-04,Baraki,,,,,,,,,,
23-05-05,Baraki,,,,,,,,,,
23-05-06,Baraki,,,,,,,,,,
23-05-07,Baraki,,,,,,,,,,
23-05-08,Baraki,,,,,,,,,,
23-05-09,Baraki,,,,,,,,,,
23-05-10,Baraki,,,,,,,,,,
23-05-11,Baraki,,,,,,,,,,
23-05-12,Baraki,0.59978804201819,0.02984074898995459,0.03281064354814589,0.03583469334989786,0.03271121741272509,0.04477186338044703,0.05317212641239166,0.08817100897431374,0.06428255140781403,0.0
23-05-13,Baraki,,,,,,,,,,
23-05-14,Baraki,,,,,,,,,,
23-05-15,Baraki,,,,,,,,,,
23-05-16,Baraki,,,,,,,,,,
23-05-17,Baraki,,,,,,,,,,
23-05-18,Baraki,,,,,,,,,,
23-05-19,Baraki,,,,,,,,,,
23-05-20,Baraki,,,,,,,,,,
23-05-21,Baraki,,,,,,,,,,
23-05-22,Baraki,,,,,,,,,,
23-05-23,Baraki,,,,,,,,,,
23-05-24,Baraki,,,,,,,,,,
23-05-25,Baraki,,,,,,,,,,
23-05-26,Baraki,,,,,,,,,,
23-05-27,Baraki,,,,,,,,,,
23-05-28,Baraki,,,,,,,,,,
23-05-29,Baraki,0.06880748875345967,0.04490888088810959,0.04663180173534584,0.04410292516946196,0.12764192533824212,0.10243653548048734,0.23509197850038843,0.20983135393005034,0.06395790126097135,5.661796932067203
23-05-30,Baraki,,,,,,,,,,
23-05-31,Baraki,,,,,,,,,,
23-06-01,Baraki,0.0612682781188019,0.11369977654110966,0.05141738158394201,0.034620564919534205,0.12472537991820688,0.1231039494586258,0.25760860745109293,0.0869134323574251,0.03987741477025472,4.648291132054045
23-06-02,Baraki,,,,,,,,,,
23-06-03,Baraki,,,,,,,,,,
23-06-04,Baraki,,,,,,,,,,
23-06-05,Baraki,,,,,,,,,,
23-06-06,Baraki,,,,,,,,,,
23-06-07,Baraki,,,,,,,,,,
23-06-08,Baraki,,,,,,,,,,
23-06-09,Baraki,,,,,,,,,,
23-06-10,Baraki,,,,,,,,,,
23-06-11,Baraki,,,,,,,,,,
23-06-12,Baraki,,,,,,,,,,
23-06-13,Baraki,,,,,,,,,,
23-06-14,Baraki,,,,,,,,,,
23-06-15,Baraki,,,,,,,,,,
23-06-16,Baraki,0.0484383372043652,0.12463286695538432,0.06075783916842072,0.033177806332483774,0.14258775457330006,0.11347758239566312,0.2355607987893505,0.0940650760749767,0.0431138090215174,4.74269916673156
23-06-17,Baraki,,,,,,,,,,
23-06-18,Baraki,0.04947936155329856,0.06404452326584303,0.06934251857208869,0.035089762591310525,0.1814599110286614,0.07984987270307839,0.32042876822380606,0.07722067757693464,0.0413018748762261,5.0362147425491015
23-06-19,Baraki,,,,,,,,,,
23-06-20,Baraki,,,,,,,,,,
23-06-21,Baraki,0.052131106369722055,0.053547103896894516,0.03600136486616668,0.041940894401829014,0.09116478128109495,0.11452503366474535,0.16842187339872858,0.2819811868967987,0.08551072834151419,6.617464788732396
23-06-22,Baraki,,,,,,,,,,
23-06-23,Baraki,0.09035345003881962,0.05666045957316275,0.05103925077237479,0.03598841314832468,0.16294444754601292,0.06401946098716359,0.333299971000668,0.07775398124729879,0.045397063334193175,4.954707228200999
23-06-24,Baraki,,,,,,,,,,
23-06-25,Baraki,,,,,,,,,,
23-06-26,Baraki,0.04741060393413116,0.12058732951100962,0.058775098799173864,0.032376733590240306,0.16095056959209353,0.1165981401341973,0.2126720525692046,0.10379655411432204,0.04275620403948317,4.673928425129407
23-06-27,Baraki,,,,,,,,,,
23-06-28,Baraki,0.046052178824854836,0.06863473184206081,0.05959727766081442,0.033750665871941664,0.19057063077441821,0.08096379702801483,0.33163489653078193,0.06319498434191385,0.044280147916139656,4.998895119649103
23-06-29,Baraki,,,,,,,,,,
23-06-30,Baraki,,,,,,,,,,
23-07-01,Baraki,0.057420200592434176,0.11106974913627117,0.04680688670825351,0.036118889678268463,0.1394520898446885,0.10211819955224691,0.2737342113884771,0.08905357836730694,0.04141631729135796,4.640668126011228
23-07-02,Baraki,,,,,,,,,,
23-07-03,Baraki,0.048803959911972665,0.0676607254469464,0.058115261935115126,0.033058395231959276,0.1829964785406196,0.0815007611303,0.3276760825794701,0.07532515753504743,0.04104846996961917,5.048650515107943
23-07-04,Baraki,,,,,,,,,,
23-07-05,Baraki,,,,,,,,,,
23-07-06,Baraki,,,,,,,,,,
23-07-07,Baraki,,,,,,,,,,
23-07-08,Baraki,0.0463961609152544,0.05910554250391664,0.046499291222466696,0.035437202979046255,0.18643919470506373,0.09555067765942106,0.2988375499618155,0.11968379827818589,0.042871486940953545,5.162582292422843
23-07-09,Baraki,,,,,,,,,,
23-07-10,Baraki,,,,,,,,,,
23-07-11,Baraki,,,,,,,,,,
23-07-12,Baraki,,,,,,,,,,
23-07-13,Baraki,0.0525924518673875,0.06662128134469028,0.040330084231343946,0.033536885342320175,0.1874216665202099,0.09579910161884193,0.3026216913115534,0.10568794007209355,0.04207849296267703,5.099736132799415
23-07-14,Baraki,,,,,,,,,,
23-07-15,Baraki,,,,,,,,,,
23-07-16,Baraki,0.05947965881959069,0.11154273296525417,0.04225004920049323,0.03777692567020156,0.16488284386501006,0.11819068937755443,0.2182718535618276,0.11358163710247293,0.042128930387522,4.536715225911409
23-07-17,Baraki,,,,,,,,,,
